source,target,condition_set
BranchPredictor,power_leakage,
BranchPredictor,power_internal,
BranchPredictor,power_switching,
BranchPredictor,power_memory,
BranchPredictor,power_register,
BranchPredictor,power_clock,
BranchPredictor,area_cell_count,
BranchPredictor,area_cell_area,
BranchPredictor,area_net_area,
fetchWidth,area_cell_area,
numFetchBufferEntries,power_internal,
numFetchBufferEntries,power_memory,
numFetchBufferEntries,power_register,
numFetchBufferEntries,power_clock,
numFetchBufferEntries,power_pad,
maxBrCount,power_switching,
maxBrCount,power_memory,
maxBrCount,power_register,
maxBrCount,power_logic,
maxBrCount,power_clock,
maxBrCount,power_pad,
maxBrCount,area_cell_count,
decodeWidth,power_leakage,
decodeWidth,power_internal,
decodeWidth,power_switching,
decodeWidth,power_memory,
decodeWidth,power_register,
decodeWidth,power_logic,
decodeWidth,power_clock,
decodeWidth,power_pad,
decodeWidth,area_cell_count,
decodeWidth,area_cell_area,
decodeWidth,area_net_area,
numRobEntries,power_leakage,
numRobEntries,power_switching,
numRobEntries,power_register,
numRobEntries,power_clock,
numIntPhysRegisters,power_internal,
numIntPhysRegisters,power_register,
numIntPhysRegisters,power_clock,
numIntPhysRegisters,power_pad,
numIntPhysRegisters,area_cell_count,
numIntPhysRegisters,area_net_area,
memIssueWidth,area_cell_count,
memIssueWidth,area_net_area,
intIssueWidth,power_leakage,
intIssueWidth,power_memory,
intIssueWidth,power_logic,
numLdqEntries,power_switching,
numLdqEntries,power_memory,
numLdqEntries,power_logic,
numLdqEntries,power_clock,
nL2TLBEntries,power_register,
nL2TLBWays,power_clock,
nICacheWays,power_leakage,
nICacheWays,area_cell_area,
nDCacheWays,power_leakage,
nDCacheWays,power_memory,
nDCacheWays,area_cell_area,
nDCacheMSHRs,power_clock,
nDCacheMSHRs,power_pad,
nDCacheMSHRs,area_cell_count,
power_leakage,power
power_internal,power
power_switching,power
power_memory,power
power_register,power
power_logic,power
power_clock,power
power_pad,power
area_cell_count,area
area_cell_area,area
area_net_area,area